year,avg_temp,Global_MA,,year,city,avg_temp,Trt_MA
1750,8.72,,,1750,Toronto,6.29,
1751,7.98,,,1751,Toronto,6.84,
1752,5.78,,,1752,Toronto,-1.1,
1753,8.39,,,1753,Toronto,5.76,
1754,8.47,,,1754,Toronto,5.94,
1755,8.36,,,1755,Toronto,2.81,
1756,8.85,,,1756,Toronto,6.37,
1757,9.02,,,1757,Toronto,5.13,
1758,6.74,,,1758,Toronto,4.37,
1759,7.99,8.03,,1759,Toronto,5.27,4.768
1760,7.19,7.877,,1760,Toronto,3.74,4.513
1761,8.77,7.956,,1761,Toronto,6.25,4.454
1762,8.61,8.239,,1762,Toronto,5.79,5.143
1763,7.5,8.15,,1763,Toronto,3.32,4.899
1764,8.4,8.143,,1764,Toronto,5.76,4.881
1765,8.25,8.132,,1765,Toronto,5.14,5.114
1766,8.41,8.088,,1766,Toronto,6.27,5.104
1767,8.22,8.008,,1767,Toronto,4.74,5.065
1768,6.78,8.012,,1768,Toronto,4.81,5.109
1769,7.69,7.982,,1769,Toronto,5.44,5.126
1770,7.69,8.032,,1770,Toronto,5.35,5.287
1771,7.85,7.94,,1771,Toronto,6.23,5.285
1772,8.19,7.898,,1772,Toronto,5.93,5.299
1773,8.22,7.97,,1773,Toronto,6.22,5.589
1774,8.77,8.007,,1774,Toronto,5.64,5.577
1775,9.18,8.1,,1775,Toronto,6.64,5.727
1776,8.3,8.089,,1776,Toronto,5.69,5.669
1777,8.26,8.093,,1777,Toronto,5.23,5.718
1778,8.54,8.269,,1778,Toronto,3.18,5.555
1779,8.98,8.398,,1779,Toronto,6.1,5.621
1780,9.43,8.572,,1780,Toronto,8.7,5.956
1781,8.1,8.597,,1781,Toronto,5.96,5.929
1782,7.9,8.568,,1782,Toronto,5.39,5.875
1783,7.68,8.514,,1783,Toronto,5.11,5.764
1784,7.86,8.423,,1784,Toronto,4.9,5.69
1785,7.36,8.241,,1785,Toronto,4.83,5.509
1786,8.26,8.237,,1786,Toronto,5.35,5.475
1787,8.03,8.214,,1787,Toronto,5.37,5.489
1788,8.45,8.205,,1788,Toronto,6,5.771
1789,8.33,8.14,,1789,Toronto,5.7,5.731
1790,7.98,7.995,,1790,Toronto,5.64,5.425
1791,8.23,8.008,,1791,Toronto,5.72,5.401
1792,8.09,8.027,,1792,Toronto,5.15,5.377
1793,8.23,8.082,,1793,Toronto,6.02,5.468
1794,8.53,8.149,,1794,Toronto,6.05,5.583
1795,8.35,8.248,,1795,Toronto,5.6,5.66
1796,8.27,8.249,,1796,Toronto,5.48,5.673
1797,8.51,8.297,,1797,Toronto,5.21,5.657
1798,8.67,8.319,,1798,Toronto,6.03,5.66
1799,8.51,8.337,,1799,Toronto,5.62,5.652
1800,8.48,8.387,,1800,Toronto,5.85,5.673
1801,8.59,8.423,,1801,Toronto,6.23,5.724
1802,8.58,8.472,,1802,Toronto,6.46,5.855
1803,8.5,8.499,,1803,Toronto,6.23,5.876
1804,8.84,8.53,,1804,Toronto,6.02,5.873
1805,8.56,8.551,,1805,Toronto,6.49,5.962
1806,8.43,8.567,,1806,Toronto,5.7,5.984
1807,8.28,8.544,,1807,Toronto,5.49,6.012
